,Age,Count,Gender
0,100+,232,Female
1,100+,-49,Male
2,99,4067,Female
3,99,-1115,Male
4,94,31988,Female
5,94,-11179,Male
6,89,130837,Female
7,89,-59538,Male
8,84,348836,Female
9,84,-192860,Male
10,79,634145,Female
11,79,-388075,Male
12,74,883619,Female
13,74,-556022,Male
14,69,1069472,Female
15,69,-721226,Male
16,64,1216485,Female
17,64,-841137,Male
18,59,1370315,Female
19,59,-1166804,Male
20,54,1490159,Female
21,54,-1441575,Male
22,49,1519825,Female
23,49,-1493189,Male
24,44,1451494,Female
25,44,-1427122,Male
26,39,988945,Female
27,39,-986594,Male
28,34,1634501,Female
29,34,-1643005,Male
30,29,1590929,Female
31,29,-1644772,Male
32,24,1541963,Female
33,24,-1609457,Male
34,19,1396842,Female
35,19,-1441551,Male
36,14,1349870,Female
37,14,-1397587,Male
38,9,1952732,Female
39,9,-2025781,Male
40,4,1932096,Female
41,4,-2005850,Male
