,Age,Count,Gender
0,100+,59919,Female
1,100+,-20815,Male
2,99,347449,Female
3,99,-156686,Male
4,94,895401,Female
5,94,-528538,Male
6,89,1419720,Female
7,89,-1031354,Male
8,84,1689441,Female
9,84,-1380829,Male
10,79,1531554,Female
11,79,-1326065,Male
12,74,1352468,Female
13,74,-1240179,Male
14,69,1275223,Female
15,69,-1237855,Male
16,64,1219966,Female
17,64,-1233974,Male
18,59,1249986,Female
19,59,-1302390,Male
20,54,1306789,Female
21,54,-1370941,Male
22,49,1203157,Female
23,49,-1264197,Male
24,44,1045386,Female
25,44,-1094048,Male
26,39,931229,Female
27,39,-977814,Male
28,34,891870,Female
29,34,-941118,Male
30,29,875644,Female
31,29,-926978,Male
32,24,860767,Female
33,24,-914442,Male
34,19,830026,Female
35,19,-884712,Male
36,14,775058,Female
37,14,-827478,Male
38,9,709325,Female
39,9,-757671,Male
40,4,661557,Female
41,4,-706839,Male
